	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
457	1822	Actions are qualifiable as good or evil, in their reference to the individual per se ; and also as a member of a social body The complexity of motive thus occasioned, contributes still further to the uncertain action of the animal ***machine***.	These multifarious causes of error occasion diseases, vices and crimes. [SEP] Actions are qualifiable as good or evil, in their reference to the individual per se ; and also as a member of a social body The complexity of motive thus occasioned, contributes still further to the uncertain action of the animal ***machine***. [SEP] The consequences deducible from these facts, in the natural history of man, embrace nearly the whole that is demonstrable in moral science.	002549664_01_761	machine	1.0	0.0
458	1831	what that of the steam ***engine***, the steam boat, and the steam coach ?	What was the first reception of the gas light ? [SEP] what that of the steam ***engine***, the steam boat, and the steam coach ? [SEP] But visionary— visionary — visionary — still continues to be at once the observation, the comment, and the argument of every self-satisfied dolt, who, being either too busy or too fat to form a rational opinion for himself, and being, at the same time, too proud to confess that he has never done so, resolves every thing that is extensive and new into this single word, which he repeats upon all occasions, like a magpie or a daw ; never failing, however, to take care that the delivery thereof be sufficiently emphatic and dictatorial.	001493624_01_2880	engine	0.0	0.0
459	1893	In large marine ***engines*** for ocean-going vessels, Avhere economy of fuel is specially considered, a result of 1J lb.	If a specially prepared cheap gas be used — the DaAA'son gas — the consumption Avorks out at 13 lb of coal per horse-poAver per hour. [SEP] In large marine ***engines*** for ocean-going vessels, Avhere economy of fuel is specially considered, a result of 1J lb. [SEP] of coal per horse-poAver per hour is regarded as satisfactory.	003664986_06_9966	engines	0.0	0.0
460	1890	I knew this meant mischief, I also kuew that running was of no use, as he was gaining on us like a ***locomotive***.	As we got over the last but one of these _ we reached a field in which a herd of cattle was grazing, and whether it was the impulse which exists in all animals to give chase, or whether it was a feeling of resentment against us for trespassing that animated the brute, of course I cannot tell, but one tremendous fellow of a bull started in pursuit of us with his tail in the air and his head on the ground, as if he were trying some new mode of ploughing, aud had not quite matured the scheme. [SEP] I knew this meant mischief, I also kuew that running was of no use, as he was gaining on us like a ***locomotive***. [SEP] Suddenly the tiger story flashed across my mind.	001700243_01_240	locomotive	0.0	0.0
461	1893	were a bore-hole, by chisels fastened to boring-rods driven by a steam-***engine*** in the manner already described for smaller borings.	— Chalk over coal measure (Westphalia). [SEP] were a bore-hole, by chisels fastened to boring-rods driven by a steam-***engine*** in the manner already described for smaller borings. [SEP] The arrangement of machinery on the top, though considerably modified, is somewhat similar to that shown in Fig.	002286943_01_3958	engine	0.0	0.0
462	1875	"So saying, he pulled out a cigar-case, asked me if I would smoke, and on my declining, began to puff away like a steam-***engine***. """	"Whilst these qualities last Dickens Avill last ; his fame rests upon them."" [SEP] So saying, he pulled out a cigar-case, asked me if I would smoke, and on my declining, began to puff away like a steam-***engine***. "" [SEP] We may do what we like here,"" said he, with a grin. """	003706365_02_791	engine	0.0	0.0
463	1898	But the Martian ***machine*** took no more notice for the moment of the people rupning this way and that than a man would of the con fusion of ants in a nest against which his foot has kicked.	People were landing hastily on both sides of the river. [SEP] But the Martian ***machine*** took no more notice for the moment of the people rupning this way and that than a man would of the con fusion of ants in a nest against which his foot has kicked. [SEP] When, half suffocated, I raised my head above water the Martian's hood pointed at the batteries that were still firing across the river, and as it advanced it swung loose what must have been the generator of the Heat- Ray.	003886173_01_1209	machine	1.0	0.0
464	1876	Establishments, 17,142 ; steam-***engines***, 289 (horse-power, 4654) ; water wheels, 73 (horse-power, 1140) ; hands employed, 67,864 (men, 67,306 ; women, 5; youths, 553) ; capital, $25,110,428 ; wages, $29,169,588 ; mate rials, $65,943,115 ; products, $132,901,432.	Carpentering and Building. [SEP] Establishments, 17,142 ; steam-***engines***, 289 (horse-power, 4654) ; water wheels, 73 (horse-power, 1140) ; hands employed, 67,864 (men, 67,306 ; women, 5; youths, 553) ; capital, $25,110,428 ; wages, $29,169,588 ; mate rials, $65,943,115 ; products, $132,901,432. [SEP] Carpenters and Joiners, 344, 596; ages, 10 to 15, 864; 16 to 59, 329,962; 60 and over, 13,770; born in the United States, 264,531; Germany, 29,704; Ireland, 16,566; Eng land and Wales, 9784 ; Scotland, 2845; British America, 11,288 ; Sweden, Norway and Denmark, 3500 ; France, 1796 ; China and Japan, 155.	004113012_01_618	engines	0.0	0.0
465	1874	The ***machinery*** and plant Avere augmented in a like ratio.	For some years there had been a population of engineers engaged in the work on earth equal to that of London in the nineteenth century, but we now so increased the number as to equal the popula- tion of Britain at that period. [SEP] The ***machinery*** and plant Avere augmented in a like ratio. [SEP] New inventions meanwhile flowed in, AAirich Avere so numerous and so ingenious as to acclimatize the workers to the subterranean regions, and alloAV them to dip with greater speed and more ease into the earth's interior.	000090432_02_2460	machinery	0.0	0.0
466	1860	Behind the mill a long narrow reservoir held a supply of water for the steam-***engine*** and the Mrater- wheel.	On the other side of this stream stood a cotton mill, with a tall chimney like a minaret blackened by a conflagration. [SEP] Behind the mill a long narrow reservoir held a supply of water for the steam-***engine*** and the Mrater- wheel. [SEP] The side of the ravine from which the bluff projected rose at an angle not exceeding sixty degrees, but the opposite side was as precipitous as was consistent writh a partial covering of hazel, bramble, and larch.	003265992_01_534	engine	0.0	0.0
467	1865	Nothing was saved from the factory, which had been lately purchased and fitted up with new ***machinery*** by Isaac Snaith, McGee, and Thomas Thacker, from Dover, N. H. ; who, though partially insured, were thought at the time to be losers to the amount of $15,000.	K. Stevens, as to pre serve the neighboring buildings, and even the factory store, only twelve feet distant, already on fire. [SEP] Nothing was saved from the factory, which had been lately purchased and fitted up with new ***machinery*** by Isaac Snaith, McGee, and Thomas Thacker, from Dover, N. H. ; who, though partially insured, were thought at the time to be losers to the amount of $15,000. [SEP] It was not known how the fire originated, but subsequent events in connection with Mr. Snaith and the Thomaston Bank, led some to doubt whether the fire was not kindled intentionally by the owners.	001028597_01_7343	machinery	0.0	0.0
468	1878	Steam-***engines*** constructed at Zurich have been exported even to England and to America.	It is a manufacturing town, too, with silk and cotton mills, foundries, and machine shops. [SEP] Steam-***engines*** constructed at Zurich have been exported even to England and to America. [SEP] More than half the corn trade of Switzerland is conducted by Zurich houses, its leather fairs are well attended, and the visits of commercial travellers are more frequent than in any other town of Switzerland.	003055004_02_9590	engines	0.0	0.0
469	1865	"The first, which is denominated a ""handy list,"" contains the names of upwards of a thousand of the principal streets, alphabetically arranged, with a tabulated forest of figures disposed in columns, which form an index to ten other lists which give the situations of all the receiving houses, pillar letter boxes, money order offices, commis sionaires, telegraph stations, fire ***engines***, fire escapes, hospitals, cab stands, and police stations."	"This information is here afforded in a series of lists and tables, so arranged as to be clearly under stood and readily referred to. [SEP] The first, which is denominated a ""handy list,"" contains the names of upwards of a thousand of the principal streets, alphabetically arranged, with a tabulated forest of figures disposed in columns, which form an index to ten other lists which give the situations of all the receiving houses, pillar letter boxes, money order offices, commis sionaires, telegraph stations, fire ***engines***, fire escapes, hospitals, cab stands, and police stations. [SEP] These are followed by lists of boarding-houses, hotels, lodging houses, and dining rooms, giving their titles and situation, the names of their proprietors, and, as far as possible, the prices charged at each establishment."	002694344_01_3670	engines	0.0	0.0
470	1896	Not a breath of wind stirred, and no sound could be heard but the creaking of the boat as she swung and swayed, and the steady throb of the ***engines*** as every stroke of the propellers urged her onward.	Stars scintillated in the purple sky and flashed in the mirror of the sea, and the yacht, ploughing through this begemmed plain, left behind a broad trail of white foam. [SEP] Not a breath of wind stirred, and no sound could be heard but the creaking of the boat as she swung and swayed, and the steady throb of the ***engines*** as every stroke of the propellers urged her onward. [SEP] Bertha was seated by Aunt Chrissy, with a guitar, and every now and then she sang idle snatches of song to the old lady.	001765426_01_1127	engines	1.0	0.0
471	1893	"Shoddy "" is the name given to old woollen rags, which are torn into fragments by ***machines*** called "" devils,"" spun into yarn, and woven again into cloth."	"Dewsbury, about six miles distant (twelve by rail), and Batley are the great centres of the shoddy manufacture. "" [SEP] Shoddy "" is the name given to old woollen rags, which are torn into fragments by ***machines*** called "" devils,"" spun into yarn, and woven again into cloth. [SEP] Rags are brought from all parts of Europe, and after undergoing the transformation of the shoddy mills, are sent forth to do service as new fabric."	002672589_01_2345	machines	0.0	0.0
472	1895	278 hole the steam from the ***engine*** gets aU over the place, and makes you feel damp and uncomfortable, and reminds you of being at home on a washing day.	THE CENTURY RECITER. [SEP] 278 hole the steam from the ***engine*** gets aU over the place, and makes you feel damp and uncomfortable, and reminds you of being at home on a washing day. [SEP] If you want to go up the Monument you must be sure1 and have threepence about you, because they make no reduction for boys under twelve years of age.	000714681_01_14561	engine	0.0	0.0
473	1894	A small locomotive of two horse-power nominal is used on an i8£ inch track in the long adit of the Great Laxey lead and zinc mine in the Isle of Man ; and at Rio Tinto in Spain a much larger ***engine*** pUes in the adit on a line with a gauge of 3 feet 6 inches.	Locomotives fired with coal have the great disadvantage of poUuting the air by the products of combustion, consequently they are not available unless the ventilation is very good, nor unless there is absence of inflammable gases and freedom from the risk of setting fire to tbe timbering or to the mineral itself. [SEP] A small locomotive of two horse-power nominal is used on an i8£ inch track in the long adit of the Great Laxey lead and zinc mine in the Isle of Man ; and at Rio Tinto in Spain a much larger ***engine*** pUes in the adit on a line with a gauge of 3 feet 6 inches. [SEP] Locomotives driven by compressed air, carried in a reservoir upon a tender, improve the ventilation instead of injuring it, and are not a possible source of danger from fire ; but, except in special cases, they cannot be worked so cheaply as engines fired with coal.	001275772_01_9635	engine	0.0	0.0
474	1890	"The report goes on to say, '-this opinion is based upon the fol lowing facts: that the two reservoirs which are in use, ex cluding the new Totowa reservoir, contain ten million gal lons ol water, while the pumping facilities are such that the supply in reservoirs can be replenished at the rate of six millions per twenty-four hours;"" that ""the six steam fire ***engines***, when on fire duty, would be supplied for nearly three days steady pumping without any water being"	"Their report stated ""that there was no foundation for the unfavorable reports which had been circulated,"" that, ""in their judg ment there was an abundant supply to keep our steamers in full operation during the existence of any fire."" [SEP] The report goes on to say, '-this opinion is based upon the fol lowing facts: that the two reservoirs which are in use, ex cluding the new Totowa reservoir, contain ten million gal lons ol water, while the pumping facilities are such that the supply in reservoirs can be replenished at the rate of six millions per twenty-four hours;"" that ""the six steam fire ***engines***, when on fire duty, would be supplied for nearly three days steady pumping without any water being [SEP] PA PERSON, IL I US PR A PED."	003374240_01_1017	engines	0.0	0.0
475	1873	This is a con venient outlet for the country immigrants arriving at the Euston Square Station of the London and North-Western Railway; and it is also available for those residing in the densely-populated district Passing eastward from Bishop's Road, the line, in the course of half a mile, reaches the Edgware Road Station, where are workshops for the repair of the company's ***engines*** and carriages.	Since its con struction, however, it has been opened up very much to the upper air with very decided advantage both to its light and ventilation. [SEP] This is a con venient outlet for the country immigrants arriving at the Euston Square Station of the London and North-Western Railway; and it is also available for those residing in the densely-populated district Passing eastward from Bishop's Road, the line, in the course of half a mile, reaches the Edgware Road Station, where are workshops for the repair of the company's ***engines*** and carriages. [SEP] Unlike most of the stations on this route, that at Edgware Road has the advantage of being open and above ground.	003628786_05_6140	engines	0.0	0.0
476	1859	To the westward of this claim, known as Farley's, there is a very considerable number of Chinese, several parties of whom are busily tracing a spur of the Old or Main Lead, and a very small proportion of Europeans employed ; the latter consisting chiefly of the owners of puddling ***machines***, and the men employed by the Red Hill, Raglan, and Wimmera Sluicing Companies, whose operations are carried on with great vigor.	The machinery on the claims of the Olive Branch and Great Republic Companies nearly approaches completion, and the engines will be at work very shortly. [SEP] To the westward of this claim, known as Farley's, there is a very considerable number of Chinese, several parties of whom are busily tracing a spur of the Old or Main Lead, and a very small proportion of Europeans employed ; the latter consisting chiefly of the owners of puddling ***machines***, and the men employed by the Red Hill, Raglan, and Wimmera Sluicing Companies, whose operations are carried on with great vigor. [SEP] On the Ding-dong, or Cornish Lead, the only claims at work are the Prospect, or Union Jack, and No.	003786954_02_8860	machines	0.0	0.0
477	1881	She is not a con ventional girl ; she is not a well-drilled society ***machine***, acting, thinking, and expressing her self after the most approved and correct pat tern.	Yet what can he say ? [SEP] She is not a con ventional girl ; she is not a well-drilled society ***machine***, acting, thinking, and expressing her self after the most approved and correct pat tern. [SEP] Hers is a heart that can sweep all paltry	003109828_03_2350	machine	1.0	1.0
478	1842	There are two hydraulic ***machines*** to supply the garden with water ; and green-houses with many rare plants; a nursery, with 200,000 trees.	The corresponding building, on the left side, contains the dining and drawing rooms; it was built in 1755, and cost 60,000 florins. [SEP] There are two hydraulic ***machines*** to supply the garden with water ; and green-houses with many rare plants; a nursery, with 200,000 trees. [SEP] This was laid out by one ofthe Marquesses of Baden.	003764545_01_622	machines	0.0	0.0
479	1878	A Douglass ***engine*** is also in use by the department.	This engine was purchased of the old Washington Company in Mar shalltown, for $600. [SEP] A Douglass ***engine*** is also in use by the department. [SEP] This is a much smaller engine than the other, but is a good one.	002393543_01_13251	engine	0.0	0.0
480	1802	— The ***engine*** always can its cork subdue, And make an easy conquest of the wine.	Flattery's a sly insinuating screw; The World — a bottle of Tokay so fine. [SEP] — The ***engine*** always can its cork subdue, And make an easy conquest of the wine. [SEP] Flattery's an ivy wriggling round an oak : This oak is often honest blunt John Bull; — Which ivy would its great supporter choak, Whilst John (so thick thewalls of his dark scull) Deems it a pretty ornament, and struts — Till Master Ivy creeps into John's guts, And gives poor thoughtless John a set of gripes : Then, like an organ, opening all his pipes, John roars ; and, when to a consumption drain'd, Finds out the knave his folly entertain'd.	003607814_01_1476	engine	1.0	1.0
481	1843	Several Founderies, for ***engine*** and mill-work, and the various uses to which iron, both cast and wrought, is applicable, have been, of late years, set on foot in Hanley and Shelton, and carried on to a considerable extent ; but have not been attended with the prosperous results which were reasonably to be expected in a neighbourhood where the Collieries, Steam-Mills, Gas-Works, Water-Works, and * The name ought to be The Wood-Well.	Previous to the establishment of Mr. Smith's Water- Works, the Wood-wall- Well,* at the lower end of the modern street called Well-Street, was the common foun tain, at which the women filled their pitchers, and the higglers their casks, for supplying the wants of the town ; and this spring, now furnished with a pump, is still a valuable resource, though its copiousness has been im paired by recent robberies committed on its hidden streams. [SEP] Several Founderies, for ***engine*** and mill-work, and the various uses to which iron, both cast and wrought, is applicable, have been, of late years, set on foot in Hanley and Shelton, and carried on to a considerable extent ; but have not been attended with the prosperous results which were reasonably to be expected in a neighbourhood where the Collieries, Steam-Mills, Gas-Works, Water-Works, and * The name ought to be The Wood-Well. [SEP] In the provincial dialect of past days, wall was commonly used for well; and Wood-wall- Well, though very euphonious, is very redundant.	003849971_01_6891	engine	0.0	0.0
482	1820	I relate with all possible exactness what the possessor of this ingenious ***machine*** told me, and which I also	Lastly, he added, that in a circular channel, concealed in the mounting was contained some running quick- silver ; that by shaking the phial irregularly, when the orifices osthe two cones met, this mer- cury insinuated itself in a greater or less quan- tity, and liquefied the amalgama ; that it came to pass sometimes, that by the variety of motions given to the machine, the mercury so introduced returned again by the same opening, and that then the amalgama ceased to be fluid. [SEP] I relate with all possible exactness what the possessor of this ingenious ***machine*** told me, and which I also [SEP] 12 NAPLES.	003945094_03_120	machine	0.0	0.0
483	1835	In 1832, there were sixty-four steam en gines in Cornwall, four of them the largest ever made : at that time, the consumption of coal at these ***engines*** was 84,000 bushels per month, or 2,800 per day ; the effect of the steam generated by the combustion of this fuel in draining the mines, was reckoned to be equal to the work of 44,000 horses.	lifted one foot high by each bushel of coals consumed, will be nearer the actual result in practice. [SEP] In 1832, there were sixty-four steam en gines in Cornwall, four of them the largest ever made : at that time, the consumption of coal at these ***engines*** was 84,000 bushels per month, or 2,800 per day ; the effect of the steam generated by the combustion of this fuel in draining the mines, was reckoned to be equal to the work of 44,000 horses. [SEP] Some esti mate of the advantages derived to our inland and coast navigation, in consequence of the facility and economy with which coal is obtained for the genera tion of steam on board vessels, may be formed from	001142352_01_4282	engines	0.0	0.0
484	1847	Without numerous standard observations or fixed stations, where the true eleva tion has been obtained, and to which ***locomotive*** observations can be referred, no accurate results can be obtained.	The elevations I had seen recorded in books were found, upon examination, to be often absurd. [SEP] Without numerous standard observations or fixed stations, where the true eleva tion has been obtained, and to which ***locomotive*** observations can be referred, no accurate results can be obtained. [SEP] I found M. Nicollet a most amiable and sociable person, full of intelligence and zeal.	001209424_01_5319	locomotive	0.0	0.0
485	1874	I think their first appliance for drawing the water fiom the shaft was by attaching a crank to the water wheel stamps axle, and a rod from that to the shaft; then they tried with a larger water wheel, but afterwards erected a steam pumping ***engine***.	Wheal Raven Mine appears to have been worked a little before the memory of any of the present generation, and subsequently stopped; but about the year 1820, the mine was again set to work. [SEP] I think their first appliance for drawing the water fiom the shaft was by attaching a crank to the water wheel stamps axle, and a rod from that to the shaft; then they tried with a larger water wheel, but afterwards erected a steam pumping ***engine***. [SEP] The sett extended east and west of the river.	002437593_01_93	engine	0.0	0.0
486	1881	The ***engine*** house, which is a neat, two-story structure, of brick, was built in 1874, at a cost of $5,000 In the second story are the firemen's hall, City Hall and municipal offices, and in the basement, the jail.	There is also a hook and ladder company. [SEP] The ***engine*** house, which is a neat, two-story structure, of brick, was built in 1874, at a cost of $5,000 In the second story are the firemen's hall, City Hall and municipal offices, and in the basement, the jail. [SEP] The present chief of the depart ment is Julius Pelz.	003955782_01_35774	engine	0.0	0.0
487	1887	In 1818 the steam-***engine*** at Fair mount was set in operation ; and from that time on there was a general acceptance of the Schuylkill water.	"The citizens of Philadelphia clung to their pumps, and preferred them, until after the yellow-fever epi demic opened their eyes to the possible dangers of such a supply. [SEP] In 1818 the steam-***engine*** at Fair mount was set in operation ; and from that time on there was a general acceptance of the Schuylkill water. [SEP] ""On the nth of March, 1789, the Legislature of the State had granted a new charter to the city"	000775613_01_2019	engine	0.0	0.0
488	1880	"508 v PHILIP P. PECK, If the future generations are asked the question, "" Who has done the most for America, the pioneer or the inventor of the telegraph, the ***locomotive***, the steamboat, or the many great inventors of the present or any other age?"""	"HISTORY OF CLINTON COUNTY, MICHIGAN. [SEP] 508 v PHILIP P. PECK, If the future generations are asked the question, "" Who has done the most for America, the pioneer or the inventor of the telegraph, the ***locomotive***, the steamboat, or the many great inventors of the present or any other age?"" [SEP] we believe the answer will be, "" The Pioneer."""	001059542_01_34831	locomotive	0.0	0.0
489	1878	After passing St. Clements island, bring Trithal ***engine*** house in line with York house, N. -l W., and it will lead eastward of the Low Lee and Cam Base Rocks.	When abreast Carndu point, keep Tetterdu point well open south of the Cam Barges to avoid the Lelland (Rennell), after which the shore may be approached to a quarter of a mile. [SEP] After passing St. Clements island, bring Trithal ***engine*** house in line with York house, N. -l W., and it will lead eastward of the Low Lee and Cam Base Rocks. [SEP] The best anchorage is in about 9 fathoms, with the tower on mount St. Mi chael's in line with St. Hilary church spire bearing E. |- N. ; and the beacon on the Gear rock in line with the pier lighthouse N. by E. E. The anchorage for coasters is farther to the westward in Gwavas Lake in about 4| fathoms, with the centre of St. Clements island in line with Penlee point, S. by W. \ W. In approaching the bay from the southward, when between Carndu and Cuddan points, and proceeding in the line towards Gulval at the head of the bay, the soundings will gradually decrease from 20 to 9\ fathoms at low water.	001092088_01_1489	engine	0.0	0.0
490	1891	The remoteness of the scene, along with the obscurity of frontier records, have the effect of throwing them for us as far back into picturesque distance as our own border raids and Highland feuds ; we do not readily imagine the scalping of telegraph operators and school teachers, or expect the screech of the war-whoop to be found mingling with the whistle of the ***locomotive***.	These risings, with their attendant atrocities, are matters of chronicle and legend, best known to us, on this side of the Atlantic, through the school of fiction to which they have lent their thrilling incidents. [SEP] The remoteness of the scene, along with the obscurity of frontier records, have the effect of throwing them for us as far back into picturesque distance as our own border raids and Highland feuds ; we do not readily imagine the scalping of telegraph operators and school teachers, or expect the screech of the war-whoop to be found mingling with the whistle of the ***locomotive***. [SEP] Few of us remember that one of the most sanguinary of Indian outbreaks took place not a generation ago, at a time, indeed, when our attention to American affairs was absorbed by a far more momentous struggle.	001729653_01_833	locomotive	0.0	0.0
491	1882	Its first constituent is obedience : a soldier is, of all descriptions of men, the most completely a ***machine*** ; yet his profession inevitably teaches him something of dogmatism, swaggering, and self-consequence : he is Uke the puppet of a showman, who, at the very time he is made to strut and sweU and display the most farcical airs, we perfectly know cannot assume the most insignificant gesture, advance either to the right or the left, but as he is moved by his exhibitor.	To these more serious and momentous considerations it may be proper to add a recollection of the ridiculousness of the military character. [SEP] Its first constituent is obedience : a soldier is, of all descriptions of men, the most completely a ***machine*** ; yet his profession inevitably teaches him something of dogmatism, swaggering, and self-consequence : he is Uke the puppet of a showman, who, at the very time he is made to strut and sweU and display the most farcical airs, we perfectly know cannot assume the most insignificant gesture, advance either to the right or the left, but as he is moved by his exhibitor. [SEP] — Godwin's Enquirer, Essay v. I will here subjoin a little poem, so strongly expressive of my abhorrence of despotism and falsehood, that I fear lest it never again may be depictured so vividly.	003364107_02_7408	machine	1.0	0.0
492	1831	But as comparisons seldom go on all four, the mill and the human ***machine*** differ in one respect: the miller, when he takes up his flashes, lays them it may be on the bank, goes whistling into his mill, and thinks no more till his grist is ground, for the water will work on forever unless he shuts it out again : but the valves used by the mind fall back again of them selves when the mind withdraws her activity.	The mind in this case works like the miller of an overshot mill, he has shoots lying over every one of his wheels, stopped by flash-boards at their upper ends, against which the water lies bearing always ready to drive the wheels whenever it can find a passage : so tbe miller by drawing a little board, which any child might pull up with a finger, turns the stream upon this wheel or that as he pleases, and twirls round a massive stone which he could not stir with both his arms. [SEP] But as comparisons seldom go on all four, the mill and the human ***machine*** differ in one respect: the miller, when he takes up his flashes, lays them it may be on the bank, goes whistling into his mill, and thinks no more till his grist is ground, for the water will work on forever unless he shuts it out again : but the valves used by the mind fall back again of them selves when the mind withdraws her activity. [SEP] Therefore if you would point with your hand at some object for any time, you must continue to exert yourself all the while : for the moment the mind forbears her volition, the valves close, the stream ceases to flow upon the brachial muscles, and the arm no longer supported falls to your side.	003685947_01_754	machine	1.0	1.0
493	1841	The ***engines*** from the different fire offices in Newcastle attended, but the fire was so nearly extinguished when they arrived, that it was not thought necessary that they should play.	The engine from sir M. W. Ridley and Co.'s glass-house was promptly on the ground, and was of very great service. [SEP] The ***engines*** from the different fire offices in Newcastle attended, but the fire was so nearly extinguished when they arrived, that it was not thought necessary that they should play. [SEP] The accident	003094600_02_18988	engines	0.0	0.0
494	1892	Its wor-i wil bear comparison wirh tha of other ***machines*** costing higher prices.	No trouble No exprienc-*. [SEP] Its wor-i wil bear comparison wirh tha of other ***machines*** costing higher prices. [SEP] The stitch c_n be made large or small.	002167334_07_5901	machines	0.0	0.0
495	1888	By and by a shouting and hubbub without draws every one to the door, and the fire ***engines*** and fire men dash by.	"• .11 White's 6 Fishe's 6 and thence to the great town of Boston ten miles, where many good lodgings and accommodations may be had for love and money."" [SEP] By and by a shouting and hubbub without draws every one to the door, and the fire ***engines*** and fire men dash by. [SEP] There is a fire in Henry Riker's blacksmith shop in the crowded part of the city."	003645282_01_2868	engines	0.0	0.0
496	1861	A life of labour, like this soldier here, His wondrous faculties bestow'd in vain Be moulded by his fate till he becomes A mere ***machine*** of murder.	Both busily our needful food to win, We work as nature taught, with ceaseless pains, Thy bowels thou dost spin, I spin my brains. [SEP] A life of labour, like this soldier here, His wondrous faculties bestow'd in vain Be moulded by his fate till he becomes A mere ***machine*** of murder. [SEP] TO A FRIEND SETTLED IN THE COUNTRY.	002382999_01_20048	machine	1.0	0.0
497	1880	This, on December, 1879, consisted of no less than 331 ***engines*** and 202 tenders !	"But look at the "" Locomotive Stock "" of the Company. [SEP] This, on December, 1879, consisted of no less than 331 ***engines*** and 202 tenders ! [SEP] (the cost of con struction of these alone must have amounted to nearly a million sterling)."	000360616_01_6241	engines	0.0	0.0
498	1887	A secondary ***engine*** was designed to throw floods of water upon the decks and through the port-holes of an enemy.	"Her armament was to consist of thirty thirty-two-pounder guns, and two one hundred-pounder columbiads. [SEP] A secondary ***engine*** was designed to throw floods of water upon the decks and through the port-holes of an enemy. [SEP] While the vessel was building, reports concerning her reached England ; and soon the most ludicrously exaggerated accounts of her power were current in that country. """	000003728_01_3317	engine	0.0	0.0
499	1863	"[Ninth but very little ***apparatus***, and therefore the experiments may be per formed in almost any situation ; it saves a great deal of time and a great deal of expense; while the numerous discoveries of Dr Wollaston demonstrate the precision of which his method is susceptible."""	"638 LITERARY SERIES. [SEP] [Ninth but very little ***apparatus***, and therefore the experiments may be per formed in almost any situation ; it saves a great deal of time and a great deal of expense; while the numerous discoveries of Dr Wollaston demonstrate the precision of which his method is susceptible."" [SEP] It may be added, that the laboratory of Dr Wollaston, small as it was, proved more profitable to his purse than has usually been the case with experi mental philosophers."	000837218_05_13764	apparatus	0.0	0.0
500	1857	Eight public and private fire-***engines*** were on the spot at an early period, but for some time they were useless, from the inefficient supply of water, and it was not until four o'clock that the fire was subdued.	Eight houses in New Pandon Street were also set on fire by the intense heat, and completely gutted, and the destruc tion of the whole of that street appeared so probable that it was deter mined to pull down a house in order to arrest the progress of the flames, when, fortunately, the wind changed, and further danger was averted. [SEP] Eight public and private fire-***engines*** were on the spot at an early period, but for some time they were useless, from the inefficient supply of water, and it was not until four o'clock that the fire was subdued. [SEP] No less than ninty-nine persons were rendered nearly destitute by the loss of their clothing and furniture in this sad catastrophe, and a public meeting was held, and the sum of £376 was subscribed for the relief of the sufferers.	002083948_01_5820	engines	0.0	0.0
501	1887	"This ***locomotive*** was always known as "" Johnny Bull,"" or "" Number One."""	"Perhaps you saw it at the Centennial, where the engineer who used to run it over the road was almost as much of a curiosity as the engine itself. [SEP] This ***locomotive*** was always known as "" Johnny Bull,"" or "" Number One."" [SEP] The tank was a large hogshead, and, when running, the engineer and fireman had to stand in the open air."	001059471_02_6737	locomotive	1.0	1.0
502	1894	— The ordinary form of steam stamp consists of & direct-acting vertical ***engine***, having a steam cylinder and	Steam Stamps. [SEP] — The ordinary form of steam stamp consists of & direct-acting vertical ***engine***, having a steam cylinder and [SEP] 146 THE METALLURGY OF GOLD.	003159007_01_3921	engine	0.0	0.0
503	1853	A boat guard was kept rowing around the ships all night, and the most extraordinary precautions taken to protect them from these mysterious ***engines*** of destruction.	The terror it inspired, however, made him more wary in approaching the coast. [SEP] A boat guard was kept rowing around the ships all night, and the most extraordinary precautions taken to protect them from these mysterious ***engines*** of destruction. [SEP] While our blockaded coast was thus filling Con gress with alarm, and the whole land with gloom and dread, the bold and hostile attitude which Mas sachusetts was assuming, both deepened the general indignation and added to the embarrassments under which the administration struggled.	001629503_01_2817	engines	1.0	0.0
504	1863	It was a long while before I could make them fit for a place in the ***machine***.	I had to teach myself before I could teach them. [SEP] It was a long while before I could make them fit for a place in the ***machine***. [SEP] ' AN INVENTOR'S DREAMS.'	003256986_01_2470	machine	0.0	0.0
505	1881	The proprietors of this creamery intend this season (1881) to put a six-horse power ***engine*** in for the purpose of working the creamery and running a mill for grinding feed for their stock.	Now run by horse-power. [SEP] The proprietors of this creamery intend this season (1881) to put a six-horse power ***engine*** in for the purpose of working the creamery and running a mill for grinding feed for their stock. [SEP] PERSONAL MENTION.	002819320_01_20378	engine	0.0	0.0
506	1885	I was at first a little surprised at the capital manner in which these rude ***machines*** performed their work ; but upon lifting off the upper half I found that the wily Yakut had set at a proper depth small cubes of flint stone into the faces of both blocks.	In the top stone is inserted an upright handle for one or two persons to turn; and oc casionally a hole is bored which receives a staff suspended from the ceiling, and two women sitting opposite to each other twist this around, one of them from time to time dropping a pinch of grain into the orifice of the top block. [SEP] I was at first a little surprised at the capital manner in which these rude ***machines*** performed their work ; but upon lifting off the upper half I found that the wily Yakut had set at a proper depth small cubes of flint stone into the faces of both blocks. [SEP] The meal is coarse and unbolted ; but then the husks go to fill the abhorred vacuum, which at the Delta in times of famine I have seen filled with wood.	002454918_01_3806	machines	1.0	0.0
